,0
0,de
1,la
2,que
3,el
4,en
5,y
6,a
7,los
8,del
9,se
10,las
11,por
12,un
13,para
14,con
15,no
16,una
17,su
18,al
19,lo
20,como
21,más
22,pero
23,sus
24,le
25,ya
26,o
27,este
28,sí
29,porque
30,esta
31,entre
32,cuando
33,muy
34,sin
35,sobre
36,también
37,me
38,hasta
39,hay
40,donde
41,quien
42,desde
43,todo
44,nos
45,durante
46,todos
47,uno
48,les
49,ni
50,contra
51,otros
52,ese
53,eso
54,ante
55,ellos
56,e
57,esto
58,mí
59,antes
60,algunos
61,qué
62,unos
63,yo
64,otro
65,otras
66,otra
67,él
68,tanto
69,esa
70,estos
71,mucho
72,quienes
73,nada
74,muchos
75,cual
76,poco
77,ella
78,estar
79,estas
80,algunas
81,algo
82,nosotros
83,mi
84,mis
85,tú
86,te
87,ti
88,tu
89,tus
90,ellas
91,nosotras
92,vosotros
93,vosotras
94,os
95,mío
96,mía
97,míos
98,mías
99,tuyo
100,tuya
101,tuyos
102,tuyas
103,suyo
104,suya
105,suyos
106,suyas
107,nuestro
108,nuestra
109,nuestros
110,nuestras
111,vuestro
112,vuestra
113,vuestros
114,vuestras
115,esos
116,esas
117,estoy
118,estás
119,está
120,estamos
121,estáis
122,están
123,esté
124,estés
125,estemos
126,estéis
127,estén
128,estaré
129,estarás
130,estará
131,estaremos
132,estaréis
133,estarán
134,estaría
135,estarías
136,estaríamos
137,estaríais
138,estarían
139,estaba
140,estabas
141,estábamos
142,estabais
143,estaban
144,estuve
145,estuviste
146,estuvo
147,estuvimos
148,estuvisteis
149,estuvieron
150,estuviera
151,estuvieras
152,estuviéramos
153,estuvierais
154,estuvieran
155,estuviese
156,estuvieses
157,estuviésemos
158,estuvieseis
159,estuviesen
160,estando
161,estado
162,estada
163,estados
164,estadas
165,estad
166,he
167,has
168,ha
169,hemos
170,habéis
171,han
172,haya
173,hayas
174,hayamos
175,hayáis
176,hayan
177,habré
178,habrás
179,habrá
180,habremos
181,habréis
182,habrán
183,habría
184,habrías
185,habríamos
186,habríais
187,habrían
188,había
189,habías
190,habíamos
191,habíais
192,habían
193,hube
194,hubiste
195,hubo
196,hubimos
197,hubisteis
198,hubieron
199,hubiera
200,hubieras
201,hubiéramos
202,hubierais
203,hubieran
204,hubiese
205,hubieses
206,hubiésemos
207,hubieseis
208,hubiesen
209,habiendo
210,habido
211,habida
212,habidos
213,habidas
214,soy
215,eres
216,es
217,somos
218,sois
219,son
220,sea
221,seas
222,seamos
223,seáis
224,sean
225,seré
226,serás
227,será
228,seremos
229,seréis
230,serán
231,sería
232,serías
233,seríamos
234,seríais
235,serían
236,era
237,eras
238,éramos
239,erais
240,eran
241,fui
242,fuiste
243,fue
244,fuimos
245,fuisteis
246,fueron
247,fuera
248,fueras
249,fuéramos
250,fuerais
251,fueran
252,fuese
253,fueses
254,fuésemos
255,fueseis
256,fuesen
257,sintiendo
258,sentido
259,sentida
260,sentidos
261,sentidas
262,siente
263,sentid
264,tengo
265,tienes
266,tiene
267,tenemos
268,tenéis
269,tienen
270,tenga
271,tengas
272,tengamos
273,tengáis
274,tengan
275,tendré
276,tendrás
277,tendrá
278,tendremos
279,tendréis
280,tendrán
281,tendría
282,tendrías
283,tendríamos
284,tendríais
285,tendrían
286,tenía
287,tenías
288,teníamos
289,teníais
290,tenían
291,tuve
292,tuviste
293,tuvo
294,tuvimos
295,tuvisteis
296,tuvieron
297,tuviera
298,tuvieras
299,tuviéramos
300,tuvierais
301,tuvieran
302,tuviese
303,tuvieses
304,tuviésemos
305,tuvieseis
306,tuviesen
307,teniendo
308,tenido
309,tenida
310,tenidos
311,tenidas
312,tened
